编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
1-A,三个观测点中	①位于大西洋,None,,6,,,三 个 观测点 中 ① 位于 大西洋,三 个 观测点 中 ① 位于 大西洋,CD M NN LC NN VV loc,,位于_0（①，大西洋）,位于_0（①，大西洋）,0_5,0_5,位于,位于,,5,三个 观测点 中 ① 位于 大 西洋,三个 观测点 中 ① 位于 大西洋,CD M NN LC VV VV loc,( (IP (NP (QP (CD 三) (CLP (M 个))) (LCP (NP (NN 观测点)) (LC 中)) (NP (NN ①))) (VP (VV 位于) (NP (NR 大西洋)))) )
1-B,三个观测点中	②的纬度位置最低,None,,,6,,三 个 观测点 中 ② 的 纬度 位置 最 低,三 个 观测点 中 ② 的 纬度 位置 最 低,CD M NN LC NN DEG term NN AD VA,,最值_0（②，纬度位置，低，#）,最值_0（②，纬度位置，低，#）,0_8,0_8,最值,最值,,,三个 观测点 中 ② 的 纬度 位置 最 低,三个 观测点 中 ② 的 纬度 位置 最 低,CD M NN LC VA DEC term NN AD VA,( (IP (NP (DNP (NP (QP (CD 三) (CLP (M 个))) (LCP (NP (NN 观测点)) (LC 中)) (NP (NN ②))) (DEG 的)) (NP (NN 纬度) (NN 位置))) (VP (ADVP (AD 最)) (VP (VA 低)))) )
1-C,三个观测点中	③的海底地形是大陆架,None,,,9,,三 个 观测点 中 ③ 的 海底 地形 是 大陆架,三 个 观测点 中 ③ 的 海底 地形 是 大陆架,CD M NN LC NN DEG NN NN VC term,,实体信息陈述_0（③，海底地形，大陆架）,实体信息陈述_0（③，海底地形，大陆架）,,,实体信息陈述,实体信息陈述,,,三个 观测点 中 ③ 的 海底 地形 是 大陆架,三个 观测点 中 ③ 的 海底 地形 是 大陆架,CD M NN LC VA DEC NN NN VC term,( (IP (NP (DNP (NP (LCP (NP (QP (CD 三) (CLP (M 个))) (NP (NN 观测点))) (LC 中)) (NP (NN ③))) (DEG 的)) (NP (NN 海底) (NN 地形))) (VP (VC 是) (NP (NN 大陆架)))) )
1-D,三个观测点中	0－1km之间，①的水温变化比②大,n,,,,4,三 个 观测点 中 0－1km 之间 ， ① 的 水温 变化 比 ② 大,三 个 观测点 中 0 － 1 km 之间 ， ① 的 水温 变化 比 ② 大,CD M NN LC num LC PU NN DEG NN NN P NN VA,,比较_0（①，②，0－1km之间水温变化，大）,比较_0（①，②，0－1km之间水温变化，大）,0_11,0_11,比较,比较,,,三个 观测点 中 0－ 1km 之间 ， ① 的 水温 变化 比 ② 大,三个 观测点 中 0－ 1km 之间 ， ① 的 水温 变化 比 ② 大,CD M NN LC num LC PU PN DEG NN NN P AD VA,( (IP (LCP (NP (QP (CD 三) (CLP (M 个))) (NP (NN 观测点))) (LC 中)) (LCP (QP (CD 0－1km)) (LC 之间)) (PU ，) (NP (NP (DNP (NP (NN ①)) (DEG 的)) (NP (NN 水温))) (NP (NN 变化))) (VP (PP (P 比) (NP (NN ②))) (VP (VA 大)))) )
2-A,日界线附近，易形成台风海区的北界可达北纬	35°,None,,,0 10,11,日界线 附近 ， 易 形成 台风 海区 的 北界 可达 北纬 35°,日界线 附近 ， 易 形成 台风 海区 的 北界 可达 北纬 35°,term NN PU AD VV NN NN DEG NN VV term num,,实体信息陈述_0（日界线附近易形成台风海区，北界，北纬 35°）,实体信息陈述_0（日界线附近易形成台风海区，北界，北纬 35°）,,,实体信息陈述,实体信息陈述,,,日界线 附近 ， 易 形成 台风 海区 的 北界 可达 北纬 35°,日界线 附近 ， 易 形成 台风 海区 的 北界 可达 北纬 35°,term NN PU AD VV NN NN DEG NN VV term num,( (IP (IP (NP (NN 日界线) (NN 附近)) (PU ，) (VP (ADVP (AD 易)) (VP (VV 形成) (NP (DNP (NP (NN 台风) (NN 海区)) (DEG 的)) (NP (NN 北界)))))) (VP (VV 可达) (QP (NP (NN 北纬)) (QP (CD 35°))))) )
2-B,日界线附近，易形成台风海区的北界可达北纬	25°,None,,,0 10,11,日界线 附近 ， 易 形成 台风 海区 的 北界 可达 北纬 25°,日界线 附近 ， 易 形成 台风 海区 的 北界 可达 北纬 25°,term NN PU AD VV NN NN DEG NN VV term num,,实体信息陈述_0（日界线附近易形成台风海区，北界，北纬 25°）,实体信息陈述_0（日界线附近易形成台风海区，北界，北纬 25°）,,,实体信息陈述,实体信息陈述,,,日界线 附近 ， 易 形成 台风 海区 的 北界 可达 北纬 25°,日界线 附近 ， 易 形成 台风 海区 的 北界 可达 北纬 25°,term NN PU AD VV NN NN DEG NN VV term num,( (IP (IP (NP (NN 日界线) (NN 附近)) (PU ，) (VP (ADVP (AD 易)) (VP (VV 形成) (NP (DNP (NP (NN 台风) (NN 海区)) (DEG 的)) (NP (NN 北界)))))) (VP (VV 可达) (QP (NP (NN 北纬)) (QP (CD 25°))))) )
2-C,日界线附近，易形成台风海区的北界可达北纬	20°,None,,,0 10,11,日界线 附近 ， 易 形成 台风 海区 的 北界 可达 北纬 20°,日界线 附近 ， 易 形成 台风 海区 的 北界 可达 北纬 20°,term NN PU AD VV NN NN DEG NN VV term num,,实体信息陈述_0（日界线附近易形成台风海区，北界，北纬 20°）,实体信息陈述_0（日界线附近易形成台风海区，北界，北纬 20°）,,,实体信息陈述,实体信息陈述,,,日界线 附近 ， 易 形成 台风 海区 的 北界 可达 北纬 20°,日界线 附近 ， 易 形成 台风 海区 的 北界 可达 北纬 20°,term NN PU AD VV NN NN DEG NN VV term num,( (IP (IP (NP (NN 日界线) (NN 附近)) (PU ，) (VP (ADVP (AD 易)) (VP (VV 形成) (NP (DNP (NP (NN 台风) (NN 海区)) (DEG 的)) (NP (NN 北界)))))) (VP (VV 可达) (QP (NP (NN 北纬)) (QP (CD 20°))))) )
2-D,日界线附近，易形成台风海区的北界可达北纬	15°,None,,,0 10,11,日界线 附近 ， 易 形成 台风 海区 的 北界 可达 北纬 15°,日界线 附近 ， 易 形成 台风 海区 的 北界 可达 北纬 15°,term NN PU AD VV NN NN DEG NN VV term num,,实体信息陈述_0（日界线附近易形成台风海区，北界，北纬 15°）,实体信息陈述_0（日界线附近易形成台风海区，北界，北纬 15°）,,,实体信息陈述,实体信息陈述,,,日界线 附近 ， 易 形成 台风 海区 的 北界 可达 北纬 15°,日界线 附近 ， 易 形成 台风 海区 的 北界 可达 北纬 15°,term NN PU AD VV NN NN DEG NN VV term num,( (IP (IP (NP (NN 日界线) (NN 附近)) (PU ，) (VP (ADVP (AD 易)) (VP (VV 形成) (NP (DNP (NP (NN 台风) (NN 海区)) (DEG 的)) (NP (NN 北界)))))) (VP (VV 可达) (QP (NP (NN 北纬)) (QP (CD 15°))))) )
3-A,影响美国的飓风（台风）多形成于	①,None,,1,3 5,,影响 美国 的 飓风 （ 台风 ） 多 形成 于 ①,影响 美国 的 飓风 （ 台风 ） 多 形成 于 ①,VV loc DEC term PU term PU AD VV P NN,,位于_0（影响美国的飓风（台风），①）,位于_0（影响美国的飓风（台风），①）,0_8-9,0_8-9,位于,位于,,1,影响 美国 的 飓风 （ 台风 ） 多 形成 于 ①,影响 美国 的 飓风 （ 台风 ） 多 形成 于 ①,NN loc DEG term PU term PU AD VV P NN,( (IP (NP (CP (IP (VP (VV 影响) (NP (NR 美国)))) (DEC 的)) (NP (NN 飓风)) (PRN (PU （) (NP (NN 台风)))) (PU ）) (VP (ADVP (AD 多)) (VP (VV 形成) (PP (P 于) (NP (NN ①)))))) )
3-B,影响美国的飓风（台风）多形成于	②,None,,1,3 5,,影响 美国 的 飓风 （ 台风 ） 多 形成 于 ②,影响 美国 的 飓风 （ 台风 ） 多 形成 于 ②,VV loc DEC term PU term PU AD VV P NN,,位于_0（影响美国的飓风（台风），②）,位于_0（影响美国的飓风（台风），②）,0_8-9,0_8-9,位于,位于,,1,影响 美国 的 飓风 （ 台风 ） 多 形成 于 ②,影响 美国 的 飓风 （ 台风 ） 多 形成 于 ②,NN loc DEG term PU term PU AD VV P NN,( (IP (NP (CP (IP (VP (VV 影响) (NP (NR 美国)))) (DEC 的)) (NP (NN 飓风)) (PRN (PU （) (NP (NN 台风)))) (PU ）) (VP (ADVP (AD 多)) (VP (VV 形成) (PP (P 于) (NP (NN ②)))))) )
3-C,影响美国的飓风（台风）多形成于	③,None,,1,3 5,,影响 美国 的 飓风 （ 台风 ） 多 形成 于 ③,影响 美国 的 飓风 （ 台风 ） 多 形成 于 ③,VV loc DEC term PU term PU AD VV P NN,,位于_0（影响美国的飓风（台风），③）,位于_0（影响美国的飓风（台风），③）,0_8-9,0_8-9,位于,位于,,1,影响 美国 的 飓风 （ 台风 ） 多 形成 于 ③,影响 美国 的 飓风 （ 台风 ） 多 形成 于 ③,NN loc DEG term PU term PU AD VV P NN,( (IP (NP (CP (IP (VP (VV 影响) (NP (NR 美国)))) (DEC 的)) (NP (NN 飓风)) (PRN (PU （) (NP (NN 台风)))) (PU ）) (VP (ADVP (AD 多)) (VP (VV 形成) (PP (P 于) (NP (NN ③)))))) )
3-D,影响美国的飓风（台风）多形成于	④,None,,1,3 5,,影响 美国 的 飓风 （ 台风 ） 多 形成 于 ④,影响 美国 的 飓风 （ 台风 ） 多 形成 于 ④,VV loc DEC term PU term PU AD VV P NN,,位于_0（影响美国的飓风（台风），④）,位于_0（影响美国的飓风（台风），④）,0_8-9,0_8-9,位于,位于,,1,影响 美国 的 飓风 （ 台风 ） 多 形成 于 ④,影响 美国 的 飓风 （ 台风 ） 多 形成 于 ④,NN loc DEG term PU term PU AD VV P NN,( (IP (NP (CP (IP (VP (VV 影响) (NP (NR 美国)))) (DEC 的)) (NP (NN 飓风)) (PRN (PU （) (NP (NN 台风)))) (PU ）) (VP (ADVP (AD 多)) (VP (VV 形成) (PP (P 于) (NP (NN ④)))))) )
4-A,图示四个区域中	①主要受风海流影响,None,,,8,,图示 四 个 区域 中 ① 主要 受 风海流 影响,图示 四 个 区域 中 ① 主要 受 风海流 影响,VV CD M NN LC NN AD VV term NN,,影响_0（风海流，①，#）,影响_0（风海流，①，#）,0_9,0_9,影响,影响,,,图示 四个 区域 中 ① 主要 受 风海流 影响,图示 四个 区域 中 ① 主要 受 风海流 影响,NN NN NN LC VV AD VV term NN,( (IP (LCP (NP (CP (IP (VP (VV 图示) (QP (CD 四) (CLP (M 个)))))) (NP (NN 区域))) (LC 中)) (NP (NN ①)) (VP (ADVP (AD 主要)) (VP (VV 受) (NP (NN 风海流) (NN 影响))))) )
4-B,图示四个区域中	②主要受寒流影响,None,,,8,,图示 四 个 区域 中 ② 主要 受 寒流 影响,图示 四 个 区域 中 ② 主要 受 寒流 影响,VA CD M NN LC NN AD VV term NN,,影响_0（寒流，②，#）,影响_0（寒流，②，#）,0_9,0_9,影响,影响,,,图示 四个 区域 中 ② 主要 受 寒流 影响,图示 四个 区域 中 ② 主要 受 寒流 影响,NN NN NN LC VV AD VV term NN,( (NP (IP (LCP (NP (CP (VP (VA 图示))) (QP (CD 四) (CLP (M 个))) (NP (NN 区域))) (LC 中)) (NP (NN ②)) (VP (ADVP (AD 主要)) (VP (VV 受) (NP (NN 寒流))))) (NP (NN 影响))) )
4-C,图示四个区域中	③是世界著名大渔场,None,,,,,图示 四 个 区域 中 ③ 是 世界 著名 大渔场,图示 四 个 区域 中 ③ 是 世界 著名 大渔场,VA CD M NN LC NN VC NN JJ NN,,实体信息陈述_0（③，是，世界著名大渔场）,实体信息陈述_0（③，是，世界著名大渔场）,,,实体信息陈述,实体信息陈述,,,图示 四个 区域 中 ③ 是 世界 著名 大渔场,图示 四个 区域 中 ③ 是 世界 著名 大渔场,NN NN NN LC VV VC NN JJ NN,( (IP (NP (LCP (NP (CP (VP (VA 图示))) (QP (CD 四) (CLP (M 个))) (NP (NN 区域))) (LC 中)) (NP (NN ③))) (VP (VC 是) (NP (NP (NN 世界)) (ADJP (JJ 著名)) (NP (NN 大渔场))))) )
4-D,图示四个区域中	④主要受密度流影响,None,,,8,,图示 四 个 区域 中 ④ 主要 受 密度流 影响,图示 四 个 区域 中 ④ 主要 受 密度流 影响,VA CD M NN LC NN AD VV term NN,,影响_0（密度流，④，#）,影响_0（密度流，④，#）,0_9,0_9,影响,影响,,,图示 四个 区域 中 ④ 主要 受 密度流 影响,图示 四个 区域 中 ④ 主要 受 密度流 影响,NN NN NN LC VV AD VV term NN,( (IP (NP (LCP (NP (CP (VP (VA 图示))) (QP (CD 四) (CLP (M 个))) (NP (NN 区域))) (LC 中)) (NP (NN ④))) (VP (ADVP (AD 主要)) (VP (VV 受) (NP (NN 密度流) (NN 影响))))) )
5-A,适宜多数作物生长的理想的土壤空气和水分比例变化应在	①—②之间,None,,,,,适宜 多数 作物 生长 的 理想 的 土壤 空气 和 水分 比例 变化 应 在 ① — ② 之间,适宜 多数 作物 生长 的 理想 的 土壤 空气 和 水分 比例 变化 应 在 ① — ② 之间,VV CD NN NN DEG NN DEG NN NN CC NN NN NN VV P NN PU NN LC,,实体信息陈述_0（适宜多数作物生长的理想的土壤空气和水分比例，变化，①—②之间）,实体信息陈述_0（适宜多数作物生长的理想的土壤空气和水分比例，变化，①—②之间）,,,实体信息陈述,实体信息陈述,,,适宜 多数 作物 生长 的 理想 的 土壤 空气 和 水分 比例 变化 应 在 ① — ② 之间,适宜 多数 作物 生长 的 理想 的 土壤 空气 和 水分 比例 变化 应 在 ① — ② 之间,VV CD NN NN DEG NN DEG NN NN CC NN NN NN VV P NN PU NN LC,( (IP (NP (CP (IP (VP (VV 适宜) (NP (DNP (NP (DNP (NP (NP (QP (CD 多数)) (NP (NN 作物))) (NP (NN 生长))) (DEG 的)) (NP (NN 理想))) (DEG 的)) (NP (NN 土壤) (NN 空气) (CC 和) (NN 水分) (NN 比例)))))) (NP (NN 变化))) (VP (VV 应) (VP (PP (P 在) (LCP (NP (NN ①) (PU —) (NN ②)) (LC 之间)))))) )
5-B,适宜多数作物生长的理想的土壤空气和水分比例变化应在	①—④之间,None,,,,,适宜 多数 作物 生长 的 理想 的 土壤 空气 和 水分 比例 变化 应 在 ① — ④ 之间,适宜 多数 作物 生长 的 理想 的 土壤 空气 和 水分 比例 变化 应 在 ① — ④ 之间,VV CD NN NN DEG NN DEG NN NN CC NN NN NN VV P NN PU NN LC,,实体信息陈述_0（适宜多数作物生长的理想的土壤空气和水分比例，变化，①—④之间）,实体信息陈述_0（适宜多数作物生长的理想的土壤空气和水分比例，变化，①—④之间）,,,实体信息陈述,实体信息陈述,,,适宜 多数 作物 生长 的 理想 的 土壤 空气 和 水分 比例 变化 应 在 ① — ④ 之间,适宜 多数 作物 生长 的 理想 的 土壤 空气 和 水分 比例 变化 应 在 ① — ④ 之间,VV CD NN NN DEG NN DEG NN NN CC NN NN NN VV P NN PU NN LC,( (IP (NP (CP (IP (VP (VV 适宜) (NP (DNP (NP (DNP (NP (NP (QP (CD 多数)) (NP (NN 作物))) (NP (NN 生长))) (DEG 的)) (NP (NN 理想))) (DEG 的)) (NP (NN 土壤) (NN 空气) (CC 和) (NN 水分) (NN 比例)))))) (NP (NN 变化))) (VP (VV 应) (VP (PP (P 在) (LCP (NP (NN ①) (PU —) (NN ④)) (LC 之间)))))) )
5-C,适宜多数作物生长的理想的土壤空气和水分比例变化应在	②—③之间,None,,,,,适宜 多数 作物 生长 的 理想 的 土壤 空气 和 水分 比例 变化 应 在 ② — ③ 之间,适宜 多数 作物 生长 的 理想 的 土壤 空气 和 水分 比例 变化 应 在 ② — ③ 之间,VV CD NN NN DEG NN DEG NN NN CC NN NN NN VV P NN PU NN LC,,实体信息陈述_0（适宜多数作物生长的理想的土壤空气和水分比例，变化，②—③之间）,实体信息陈述_0（适宜多数作物生长的理想的土壤空气和水分比例，变化，②—③之间）,,,实体信息陈述,实体信息陈述,,,适宜 多数 作物 生长 的 理想 的 土壤 空气 和 水分 比例 变化 应 在 ② — ③ 之间,适宜 多数 作物 生长 的 理想 的 土壤 空气 和 水分 比例 变化 应 在 ② — ③ 之间,VV CD NN NN DEG NN DEG NN NN CC NN NN NN VV P NN PU NN LC,( (IP (NP (CP (IP (VP (VV 适宜) (NP (DNP (NP (DNP (NP (NP (QP (CD 多数)) (NP (NN 作物))) (NP (NN 生长))) (DEG 的)) (NP (NN 理想))) (DEG 的)) (NP (NN 土壤) (NN 空气) (CC 和) (NN 水分) (NN 比例)))))) (NP (NN 变化))) (VP (VV 应) (VP (PP (P 在) (LCP (NP (NN ②) (PU —) (NN ③)) (LC 之间)))))) )
5-D,适宜多数作物生长的理想的土壤空气和水分比例变化应在	③—④之间,None,,,,,适宜 多数 作物 生长 的 理想 的 土壤 空气 和 水分 比例 变化 应 在 ③ — ④ 之间,适宜 多数 作物 生长 的 理想 的 土壤 空气 和 水分 比例 变化 应 在 ③ — ④ 之间,VV CD NN NN DEG NN DEG NN NN CC NN NN NN VV P NN PU NN LC,,实体信息陈述_0（适宜多数作物生长的理想的土壤空气和水分比例，变化，③—④之间）,实体信息陈述_0（适宜多数作物生长的理想的土壤空气和水分比例，变化，③—④之间）,,,实体信息陈述,实体信息陈述,,,适宜 多数 作物 生长 的 理想 的 土壤 空气 和 水分 比例 变化 应 在 ③ — ④ 之间,适宜 多数 作物 生长 的 理想 的 土壤 空气 和 水分 比例 变化 应 在 ③ — ④ 之间,VV CD NN NN DEG NN DEG NN NN CC NN NN NN VV P NN PU NN LC,( (IP (NP (CP (IP (VP (VV 适宜) (NP (DNP (NP (DNP (NP (NP (QP (CD 多数)) (NP (NN 作物))) (NP (NN 生长))) (DEG 的)) (NP (NN 理想))) (DEG 的)) (NP (NN 土壤) (NN 空气) (CC 和) (NN 水分) (NN 比例)))))) (NP (NN 变化))) (VP (VV 应) (VP (PP (P 在) (LCP (NP (NN ③) (PU —) (NN ④)) (LC 之间)))))) )
6-A,利用遥感技术监测土壤水分含量变化。主要依据土壤	温度,None,,,1,,利用 遥感技术 监测 土壤 水分 含量 变化 。 主要 依据 土壤 温度,利用 遥感 技术 监测 土壤 水分 含量 变化 。 主要 依据 土壤 温度,VV term VV NN NN NN NN PU JJ NN NN NN,,因果_0（土壤温度，利用遥感技术监测土壤水分含量变化）,因果_0（土壤温度，利用遥感技术监测土壤水分含量变化）,0_9,0_9,因果,因果,,,利用 遥感技术 监测 土壤 水分 含量 变化 。 主要 依据 土壤 温度,利用 遥感技术 监测 土壤 水分 含量 变化 。 主要 依据 土壤 温度,VV term VV NN NN NN NN PU JJ NN NN NN,( (IP (VP (VP (VV 利用) (NP (NN 遥感技术))) (VP (VV 监测) (NP (NP (NP (NP (NP (NN 土壤) (NN 水分)) (NP (NN 含量) (NN 变化)) (PU 。)) (ADJP (JJ 主要)) (NP (NN 依据))) (NP (NN 土壤))) (NP (NN 温度)))))) )
6-B,利用遥感技术监测土壤水分含量变化。主要依据土壤	孔隙,None,,,1,,利用 遥感技术 监测 土壤 水分 含量 变化 。 主要 依据 土壤 孔隙,利用 遥感 技术 监测 土壤 水分 含量 变化 。 主要 依据 土壤 孔隙,VV term VV NN NN NN NN PU JJ NN NN VV,,因果_0（土壤孔隙，利用遥感技术监测土壤水分含量变化）,因果_0（土壤孔隙，利用遥感技术监测土壤水分含量变化）,0_9,0_9,因果,因果,,,利用 遥感技术 监测 土壤 水分 含量 变化 。 主要 依据 土壤 孔隙,利用 遥感技术 监测 土壤 水分 含量 变化 。 主要 依据 土壤 孔隙,VV term VV NN NN NN NN PU JJ NN NN VV,( (IP (NP (IP (VP (VP (VV 利用) (NP (NN 遥感技术))) (VP (VV 监测) (NP (NP (NN 土壤) (NN 水分)) (NP (NN 含量) (NN 变化)) (PU 。))))) (ADJP (JJ 主要)) (NP (NN 依据))) (NP (NN 土壤)) (VP (VV 孔隙))) )
6-C,利用遥感技术监测土壤水分含量变化。主要依据土壤	肥力,None,,,1,,利用 遥感技术 监测 土壤 水分 含量 变化 。 主要 依据 土壤 肥力,利用 遥感 技术 监测 土壤 水分 含量 变化 。 主要 依据 土壤 肥力,VV term VV NN NN NN NN PU JJ NN NN NN,,因果_0（土壤肥力，利用遥感技术监测土壤水分含量变化）,因果_0（土壤肥力，利用遥感技术监测土壤水分含量变化）,0_9,0_9,因果,因果,,,利用 遥感技术 监测 土壤 水分 含量 变化 。 主要 依据 土壤 肥力,利用 遥感技术 监测 土壤 水分 含量 变化 。 主要 依据 土壤 肥力,VV term VV NN NN NN NN PU JJ NN NN NN,( (IP (VP (VP (VV 利用) (NP (NN 遥感技术))) (VP (VV 监测) (NP (NN 土壤) (NN 水分) (NN 含量) (NN 变化)))) (PU 。) (NP (NP (ADJP (JJ 主要)) (NP (NN 依据))) (NP (NN 土壤) (NN 肥力)))) )
