试卷名,编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
2006-北京,7-A,不够合理的治理土壤退化的措施是	东北平原开荒、焚烧秸秆，加速有机质分解,y,,10,,,不 够 合理 的 治理 土壤 退化 的 措施 是 东北平原 开荒 、 焚烧 秸秆 ， 加速 有机质 分解,不 够 合理 的 治理 土壤 退化 的 措施 是 东北 平原 开荒 、 焚烧 秸秆 ， 加速 有机质 分解,AD VA VA DEC NN NN VV DEC NN VC loc VV PU NN NN PU VV NR VV,,措施_0（不够合理的治理土壤退化，东北平原开荒、焚烧秸秆）措施_1（不够合理的治理土壤退化，东北平原加速有机质分解）,措施_0（不够合理的治理土壤退化，东北平原开荒、焚烧秸秆）措施_1（不够合理的治理土壤退化，东北平原加速有机质分解）,0_8 1_8,0_8 1_8,措施,措施,,,不 够 合理 的 治理 土壤 退化 的 措施 是 东 北平原 开荒 、 焚烧 秸秆 ， 加速 有机质 分解,不 够 合理 的 治理 土壤 退化 的 措施 是 东北平原 开荒 、 焚烧 秸秆 ， 加速 有机质 分解,AD VA VA DEC NN NN VV DEC NN VC loc VV PU NN NN PU VV NR VV,( (IP (IP (NP (CP (IP (NP (CP (IP (VP (ADVP (AD 不)) (VP (VA 够) (IP (VP (VA 合理)))))) (DEC 的)) (NP (NN 治理) (NN 土壤))) (VP (VV 退化))) (DEC 的)) (NP (NN 措施))) (VP (VC 是) (UCP (IP (NP (NR 东北平原)) (VP (VV 开荒))) (PU 、) (NP (NN 焚烧) (NN 秸秆))))) (PU ，) (VP (VV 加速) (NP (NR 有机质)) (IP (VP (VV 分解))))) )
2006-北京,7-A-0,不够合理的治理土壤退化的措施是	东北平原开荒、焚烧秸秆,ed-ori,,10,,,不 够 合理 的 治理 土壤 退化 的 措施 是 东北平原 开荒 、 焚烧 秸秆,不 够 合理 的 治理 土壤 退化 的 措施 是 东北 平原 开荒 、 焚烧 秸秆,AD VA VA DEC NN NN VV DEC NN VC loc VV PU NN NN,,措施_0（不够合理的治理土壤退化，东北平原开荒、焚烧秸秆）,措施_0（不够合理的治理土壤退化，东北平原开荒、焚烧秸秆）,0_8,0_8,措施,措施,,,不 够 合理 的 治理 土壤 退化 的 措施 是 东 北平原 开荒 、 焚烧 秸秆,不 够 合理 的 治理 土壤 退化 的 措施 是 东北平原 开荒 、 焚烧 秸秆,AD VA VA DEC NN NN VV DEC NN VC loc VV PU NN NN,( (IP (NP (CP (IP (NP (CP (IP (VP (ADVP (AD 不)) (VP (VA 够) (IP (VP (VA 合理)))))) (DEC 的)) (NP (NN 治理) (NN 土壤))) (VP (VV 退化))) (DEC 的)) (NP (NN 措施))) (VP (VC 是) (UCP (IP (NP (NR 东北平原)) (VP (VV 开荒))) (PU 、) (NP (NN 焚烧) (NN 秸秆))))) )
2006-北京,7-A-1,不够合理的治理土壤退化的措施是	东北平原加速有机质分解,ed-mod,,10,,,不 够 合理 的 治理 土壤 退化 的 措施 是 东北平原 加速 有机质 分解,不 够 合理 的 治理 土壤 退化 的 措施 是 东北 平原 加速 有机质 分解,AD VA VA DEC NN NN VV DEC NN VC loc VV NR VV,,措施_0（不够合理的治理土壤退化，东北平原加速有机质分解）,措施_0（不够合理的治理土壤退化，东北平原加速有机质分解）,0_8,0_8,措施,措施,,,不 够 合理 的 治理 土壤 退化 的 措施 是 东 北平原 加速 有机质 分解,不 够 合理 的 治理 土壤 退化 的 措施 是 东北平原 加速 有机质 分解,AD VA VA DEC NN NN VV DEC NN VC loc VV NR VV,( (IP (NP (CP (IP (NP (CP (IP (VP (ADVP (AD 不)) (VP (VA 够) (IP (VP (VA 合理)))))) (DEC 的)) (NP (NN 治理) (NN 土壤))) (VP (VV 退化))) (DEC 的)) (NP (NN 措施))) (VP (VC 是) (IP (NP (NR 东北平原)) (VP (VV 加速) (NP (NR 有机质)) (IP (VP (VV 分解))))))) )
2006-北京,7-B,不够合理的治理土壤退化的措施是	黄土高原保塬、护坡、固沟，防治水土流失,y,,10,,,不 够 合理 的 治理 土壤 退化 的 措施 是 黄土高原 保塬 、 护坡 、 固沟 ， 防治 水土流失,不 够 合理 的 治理 土壤 退化 的 措施 是 黄土 高原 保塬 、 护坡 、 固沟 ， 防治 水土流失,AD VA VA DEC NN NN VV DEC NN VC loc NN PU NN PU NN PU VV NN,,措施_0（不够合理的治理土壤退化，黄土高原保塬、护坡、固沟）措施_1（不够合理的治理土壤退化，黄土高原防治水土流失）,措施_0（不够合理的治理土壤退化，黄土高原保塬、护坡、固沟）措施_1（不够合理的治理土壤退化，黄土高原防治水土流失）,0_8 1_8,0_8 1_8,措施,措施,,,不 够 合理 的 治理 土壤 退化 的 措施 是 黄土高原 保塬 、 护坡 、 固沟 ， 防治 水土流失,不 够 合理 的 治理 土壤 退化 的 措施 是 黄土高原 保塬 、 护坡 、 固沟 ， 防治 水土流失,AD VA VA DEC NN NN VV DEC NN VC loc NN PU NN PU NN PU VV NN,( (IP (NP (CP (IP (NP (CP (IP (VP (ADVP (AD 不)) (VP (VA 够) (IP (VP (VA 合理)))))) (DEC 的)) (NP (NN 治理) (NN 土壤))) (VP (VV 退化))) (DEC 的)) (NP (NN 措施))) (VP (VC 是) (IP (NP (NP (NR 黄土高原)) (NP (NN 保塬) (PU 、) (NN 护坡) (PU 、) (NN 固沟))) (PU ，) (VP (VV 防治) (NP (NN 水土流失)))))) )
2006-北京,7-B-0,不够合理的治理土壤退化的措施是	黄土高原保塬、护坡、固沟,ed-ori,,10,,,不 够 合理 的 治理 土壤 退化 的 措施 是 黄土高原 保塬 、 护坡 、 固沟,不 够 合理 的 治理 土壤 退化 的 措施 是 黄土 高原 保塬 、 护坡 、 固沟,AD VA VA DEC NN NN VV DEC NN VC loc NN PU NN PU NN,,措施_0（不够合理的治理土壤退化，黄土高原保塬、护坡、固沟）,措施_0（不够合理的治理土壤退化，黄土高原保塬、护坡、固沟）,0_8,0_8,措施,措施,,,不 够 合理 的 治理 土壤 退化 的 措施 是 黄土高原 保塬 、 护坡 、 固沟,不 够 合理 的 治理 土壤 退化 的 措施 是 黄土高原 保塬 、 护坡 、 固沟,AD VA VA DEC NN NN VV DEC NN VC loc NN PU NN PU NN,( (IP (NP (CP (IP (NP (CP (IP (VP (ADVP (AD 不)) (VP (VA 够) (IP (VP (VA 合理)))))) (DEC 的)) (NP (NN 治理) (NN 土壤))) (VP (VV 退化))) (DEC 的)) (NP (NN 措施))) (VP (VC 是) (NP (NP (NR 黄土高原)) (NP (NN 保塬) (PU 、) (NN 护坡) (PU 、) (NN 固沟))))) )
2006-北京,7-B-1,不够合理的治理土壤退化的措施是	黄土高原防治水土流失,ed-mod,,10,,,不 够 合理 的 治理 土壤 退化 的 措施 是 黄土高原 防治 水土 流失,不 够 合理 的 治理 土壤 退化 的 措施 是 黄土 高原 防治 水土 流失,AD VA VA DEC NN NN VV DEC NN VC loc VV NN NN,,措施_0（不够合理的治理土壤退化，黄土高原防治水土流失）,措施_0（不够合理的治理土壤退化，黄土高原防治水土流失）,0_8,0_8,措施,措施,,,不 够 合理 的 治理 土壤 退化 的 措施 是 黄土高原 防治 水土流失,不 够 合理 的 治理 土壤 退化 的 措施 是 黄土高原 防治 水土流失,AD VA VA DEC NN NN VV DEC NN VC loc VV NN NN,( (IP (NP (CP (IP (NP (CP (IP (VP (VP (ADVP (AD 不)) (VP (VA 够))) (VP (VA 合理)))) (DEC 的)) (NP (NN 治理) (NN 土壤))) (VP (VV 退化))) (DEC 的)) (NP (NN 措施))) (VP (VC 是) (VP (NP (NR 黄土高原)) (VP (VV 防治) (NP (NN 水土) (NN 流失)))))) )
2006-北京,7-C,不够合理的治理土壤退化的措施是	黄淮海平原实施排灌，调控土壤盐分,y,,10,,,不 够 合理 的 治理 土壤 退化 的 措施 是 黄淮海平原 实施 排灌 ， 调控 土壤 盐分,不 够 合理 的 治理 土壤 退化 的 措施 是 黄淮海 平原 实施 排灌 ， 调控 土壤 盐分,AD VA VA DEC NN NN VV DEC NN VC loc VV NN PU NN NN NN,,措施_0（不够合理的治理土壤退化，黄淮海平原实施排灌）措施_1（不够合理的治理土壤退化，黄淮海平原调控土壤盐分）,措施_0（不够合理的治理土壤退化，黄淮海平原实施排灌）措施_1（不够合理的治理土壤退化，黄淮海平原调控土壤盐分）,0_8 1_8,0_8 1_8,措施,措施,,10,不 够 合理 的 治理 土壤 退化 的 措施 是 黄 淮海 平原 实施 排灌 ， 调控 土壤 盐分,不 够 合理 的 治理 土壤 退化 的 措施 是 黄淮海 平原 实施 排灌 ， 调控 土壤 盐分,AD VA VA DEC NN NN VV DEC NN VC loc VV NN PU NN NN NN,( (IP (NP (CP (IP (NP (CP (IP (VP (VP (ADVP (AD 不)) (VP (VA 够))) (VP (VA 合理)))) (DEC 的)) (NP (NN 治理) (NN 土壤))) (VP (VV 退化))) (DEC 的)) (NP (NN 措施))) (VP (VC 是) (IP (IP (NP (NR 黄淮海平原)) (VP (VV 实施) (NP (NN 排灌)))) (PU ，) (IP (NP (NN 调控) (NN 土壤)) (VP (NP (NN 盐分))))))) )
2006-北京,7-C-0,不够合理的治理土壤退化的措施是	黄淮海平原实施排灌,ed-ori,,10,,,不 够 合理 的 治理 土壤 退化 的 措施 是 黄淮海平原 实施 排灌,不 够 合理 的 治理 土壤 退化 的 措施 是 黄淮海 平原 实施 排灌,AD VA VA DEC NN NN VV DEC NN VC loc VV NN,,措施_0（不够合理的治理土壤退化，黄淮海平原实施排灌）,措施_0（不够合理的治理土壤退化，黄淮海平原实施排灌）,0_8,0_8,措施,措施,,10,不 够 合理 的 治理 土壤 退化 的 措施 是 黄 淮海 平原 实施 排灌,不 够 合理 的 治理 土壤 退化 的 措施 是 黄淮海 平原 实施 排灌,AD VA VA DEC NN NN VV DEC NN VC loc VV NN,( (IP (NP (CP (IP (NP (CP (IP (VP (ADVP (AD 不)) (VP (VA 够) (IP (VP (VA 合理)))))) (DEC 的)) (NP (NN 治理) (NN 土壤))) (VP (VV 退化))) (DEC 的)) (NP (NN 措施))) (VP (VC 是) (IP (NP (NR 黄淮海平原)) (VP (VV 实施) (NP (NN 排灌)))))) )
2006-北京,7-C-1,不够合理的治理土壤退化的措施是	黄淮海平原调控土壤盐分,ed-mod,,10,,,不 够 合理 的 治理 土壤 退化 的 措施 是 黄淮海平原 调控 土壤 盐分,不 够 合理 的 治理 土壤 退化 的 措施 是 黄淮海 平原 调控 土壤 盐分,AD VA VA DEC NN NN VV DEC NN VC loc NN NN NN,,措施_0（不够合理的治理土壤退化，黄淮海平原调控土壤盐分）,措施_0（不够合理的治理土壤退化，黄淮海平原调控土壤盐分）,0_8,0_8,措施,措施,,,不 够 合理 的 治理 土壤 退化 的 措施 是 黄 淮海 平原 调控 土壤 盐分,不 够 合理 的 治理 土壤 退化 的 措施 是 黄淮海 平原 调控 土壤 盐分,AD VA VA DEC NN NN VV DEC NN VC loc NN NN NN,( (IP (NP (CP (IP (NP (CP (IP (VP (ADVP (AD 不)) (VP (VA 够) (IP (VP (VA 合理)))))) (DEC 的)) (NP (NN 治理) (NN 土壤))) (VP (VV 退化))) (DEC 的)) (NP (NN 措施))) (VP (VC 是) (NP (NP (NR 黄淮海平原) (NN 调控) (NN 土壤)) (NP (NN 盐分))))) )
2006-北京,7-D,不够合理的治理土壤退化的措施是	江南丘陵施用石灰，中和土壤酸度,y,,10,,,不 够 合理 的 治理 土壤 退化 的 措施 是 江南丘陵 施用 石灰 ， 中和 土壤 酸度,不 够 合理 的 治理 土壤 退化 的 措施 是 江南 丘陵 施用 石灰 ， 中和 土壤 酸度,AD VA VA DEC NN NN VV DEC NN VC loc VV NN PU NR NN NN,,措施_0（不够合理的治理土壤退化，江南丘陵施用石灰）措施_1（不够合理的治理土壤退化，江南丘陵中和土壤酸度）,措施_0（不够合理的治理土壤退化，江南丘陵施用石灰）措施_1（不够合理的治理土壤退化，江南丘陵中和土壤酸度）,0_8 1_8,0_8 1_8,措施,措施,,,不 够 合理 的 治理 土壤 退化 的 措施 是 江南 丘陵 施用 石灰 ， 中和 土壤 酸度,不 够 合理 的 治理 土壤 退化 的 措施 是 江南 丘陵 施用 石灰 ， 中和 土壤 酸度,AD VA VA DEC NN NN VV DEC NN VC loc VV NN PU NR NN NN,( (IP (NP (CP (IP (NP (CP (IP (VP (ADVP (AD 不)) (VP (VA 够) (IP (VP (VA 合理)))))) (DEC 的)) (NP (NN 治理) (NN 土壤))) (VP (VV 退化))) (DEC 的)) (NP (NN 措施))) (VP (VC 是) (IP (NP (NR 江南丘陵)) (VP (VV 施用) (NP (NN 石灰) (PU ，) (NR 中和) (NN 土壤) (NN 酸度)))))) )
