oritext,real_label,predoct_label,isRight,wordNumDiff,charNumDiff,postagEditDistance,lastPosComb,lastPosEqual,firstPosComb,firstPosEqual,lastWordInTimian,lastTwoWordsInTimian,lastPostagInTimian,timeCombination,firstWordInSecondPart,containCuewordsMain
图中	河流③处左岸侵蚀，右岸堆积,y,y,True,2,4,2,term/term,True,NN/NN,True,中,图/中,LC,False/False,右岸,None
该图的制作与应用借助于	遥感技术获取道路网信息，测定监测点分布,y,y,True,1,4,1,NN/NN,True,term/VV,False,于,借助/于,P,False/False,测定,None
该图的制作与应用借助于	全球定位系统确定事故的位置，预测交通流量,y,y,True,2,7,2,NN/NN,True,term/VV,False,于,借助/于,P,False/False,预测,None
该图的制作与应用借助于	地理信息系统查询事故频次，分析出警最优路径,y,y,True,0,4,2,NN/NN,True,term/VV,False,于,借助/于,P,False/False,分析,None
该图的制作与应用借助于	数字地球技术，实现道路与监测点的互换,n,n,True,5,5,6,term/NN,False,term/VV,False,于,借助/于,P,False/False,实现,None
在7、8月份，伦敦比北京	气温高，日较差大,y,y,True,0,1,0,VA/VA,True,NN/NN,True,北京,比/北京,loc,False/False,日较差,None
在7、8月份，伦敦比北京	风小雾大，降水多,y,y,True,2,1,3,VA/VA,True,NN/VV,False,北京,比/北京,loc,False/False,降水,None
在7、8月份，伦敦比北京	日出晚，昼短夜长,y,y,True,2,1,3,NN/VA,False,VV/NN,False,北京,比/北京,loc,False/False,昼,None
英国	西部海岸线曲折，珊瑚礁发育好,y,y,True,0,1,2,VA/VA,True,loc/NN,False,好,发育/好,VA,False/False,珊瑚礁,None
英国	地形以高原为主，地势西高东低,y,y,True,1,1,4,VV/VA,False,NN/NN,True,英国,NULL/英国,loc,False/False,地势,None
途经该区域的洋流	进入到北冰洋海域，使当地能见度变好,n,y,False,1,0,3,loc/VV,False,VV/VV,True,洋流,的/洋流,NN,False/False,使,因果
图中所示山地	北坡热量条件差，林带上界比南坡低,y,y,True,1,1,1,VA/VA,True,NN/NN,True,山地,所示/山地,NN,False/False,林带,None
东北平原	地势中间高，南北低,y,y,True,1,2,1,VA/VA,True,NN/NN,True,东北平原,NULL/东北平原,loc,False/False,南北,None
东北平原	冬冷夏热，伏旱严重,y,y,True,2,0,3,VA/VA,True,NN/term,False,东北平原,NULL/东北平原,loc,False/False,伏旱,None
东北平原	农业实行小农场经营，精耕细作,y,n,False,4,5,5,NN/VA,False,NN/VA,False,东北平原,NULL/东北平原,loc,False/False,精耕细作,None
20世纪50-70年代人口大规模迁入东北地区的主要原因是	地处边疆，邻国人口迁入,y,y,True,1,2,2,NN/VV,False,VV/NN,False,是,原因/是,VC,False/False,邻国,趋势
大气中	臭氧层遭到破坏，会导致①增加,n,y,False,1,1,2,NN/VV,False,NN/VV,False,中,大气/中,LC,False/False,会,因果
大气中	二氧化碳浓度降低，会使②减少,n,y,False,1,3,2,VV/VV,True,NN/VV,False,中,大气/中,LC,False/False,会,因果
大气中	可吸入颗粒物增加，会使③增加,n,y,False,1,3,2,VV/VV,True,JJ/VV,False,中,大气/中,LC,False/False,会,因果
大气中	出现雾霾，会导致④在夜间减少,n,n,True,4,5,4,NN/VV,False,VV/VV,True,中,大气/中,LC,False/True,会,因果
玻利维亚	东邻巴西，西临太平洋,y,y,True,0,1,0,loc/loc,True,NN/NN,True,玻利维亚,NULL/玻利维亚,loc,False/False,西,None
玻利维亚	受寒流影响，多雾少雨,y,y,True,1,1,3,NN/NN,True,VV/JJ,False,玻利维亚,NULL/玻利维亚,loc,False/False,多,None
该河谷	呈“V”型，适宜修建水库,y,y,True,2,1,3,NN/NN,True,VV/VV,True,河谷,该/河谷,NN,False/False,适宜,因果
本次洪水	水位上升时，河流搬运作用减弱,n,y,False,0,3,2,LC/VV,False,NN/NN,True,洪水,次/洪水,NN,False/False,河流,趋势
本次洪水	水位下降时，河流含沙量增加,n,y,False,0,2,2,LC/VV,False,NN/NN,True,洪水,次/洪水,NN,False/False,河流,趋势
本次洪水	流量增大时，河流堆积作用增强,n,y,False,0,3,2,LC/VV,False,NN/NN,True,洪水,次/洪水,NN,False/False,河流,趋势
图中	甲地陡峻，喀斯特地貌典型,y,y,True,0,3,1,VA/VA,True,loc/term,False,中,图/中,LC,False/False,喀斯特地貌,None
图中	乙地低平，泥石流灾害频发,y,y,True,1,3,3,VA/VV,False,loc/term,False,中,图/中,LC,False/False,泥石流,None
